tile_m,tile_n,splitK,bpreshuffle,knl_name,co_name
192,128,0,1,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x128E,f4gemm_bf16_per1x32Fp4_BpreShuffle_192x128.co
224,128,0,1,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_224x128E,f4gemm_bf16_per1x32Fp4_BpreShuffle_224x128.co
256,128,0,1,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x128E,f4gemm_bf16_per1x32Fp4_BpreShuffle_256x128.co
32,1024,0,1,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_32x1024E,f4gemm_bf16_per1x32Fp4_BpreShuffle_32x1024.co
32,128,0,1,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128.co
32,256,0,1,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x256E,f4gemm_bf16_per1x32Fp4_BpreShuffle_32x256.co
32,384,0,1,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x384E,f4gemm_bf16_per1x32Fp4_BpreShuffle_32x384.co
32,512,0,1,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x512E,f4gemm_bf16_per1x32Fp4_BpreShuffle_32x512.co
32,640,0,1,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x640E,f4gemm_bf16_per1x32Fp4_BpreShuffle_32x640.co
32,768,0,1,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x768E,f4gemm_bf16_per1x32Fp4_BpreShuffle_32x768.co
32,896,0,1,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x896E,f4gemm_bf16_per1x32Fp4_BpreShuffle_32x896.co
64,1024,0,1,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_64x1024E,f4gemm_bf16_per1x32Fp4_BpreShuffle_64x1024.co
64,128,0,1,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128.co
64,256,0,1,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x256E,f4gemm_bf16_per1x32Fp4_BpreShuffle_64x256.co
64,384,0,1,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x384E,f4gemm_bf16_per1x32Fp4_BpreShuffle_64x384.co
64,512,0,1,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x512E,f4gemm_bf16_per1x32Fp4_BpreShuffle_64x512.co
64,640,0,1,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x640E,f4gemm_bf16_per1x32Fp4_BpreShuffle_64x640.co
64,768,0,1,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x768E,f4gemm_bf16_per1x32Fp4_BpreShuffle_64x768.co
64,896,0,1,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x896E,f4gemm_bf16_per1x32Fp4_BpreShuffle_64x896.co
96,128,0,1,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x128E,f4gemm_bf16_per1x32Fp4_BpreShuffle_96x128.co
96,256,0,1,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x256E,f4gemm_bf16_per1x32Fp4_BpreShuffle_96x256.co
96,384,0,1,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x384E,f4gemm_bf16_per1x32Fp4_BpreShuffle_96x384.co
96,512,0,1,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x512E,f4gemm_bf16_per1x32Fp4_BpreShuffle_96x512.co
96,640,0,1,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x640E,f4gemm_bf16_per1x32Fp4_BpreShuffle_96x640.co
